audit_stage,source_id,field,source_table,availability,value,unit,provenance,missingness,intended_mc_role
gaia_dr3_retrieved,3089534353001157632,dec_parallax_corr,gaiadr3.gaia_source,available,-0.23179322,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089534353001157632,dec_pmra_corr,gaiadr3.gaia_source,available,0.17829996,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089534353001157632,dec_pmdec_corr,gaiadr3.gaia_source,available,0.01091462,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089534353001157632,parallax_pmra_corr,gaiadr3.gaia_source,available,0.23135413,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,correlation coefficient for 3D parallax/pm covariance matrix
gaia_dr3_retrieved,3089534353001157632,parallax_pmdec_corr,gaiadr3.gaia_source,available,-0.24818991,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,correlation coefficient for 3D parallax/pm covariance matrix
gaia_dr3_retrieved,3089534353001157632,pmra_pmdec_corr,gaiadr3.gaia_source,available,-0.10659207,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,correlation coefficient for 3D parallax/pm covariance matrix
gaia_dr3_retrieved,3089534353001157632,radial_velocity,gaiadr3.gaia_source,available,-48.846275,km/s,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,radial-velocity central value audit
gaia_dr3_retrieved,3089534353001157632,radial_velocity_error,gaiadr3.gaia_source,available,1.2856156,km/s,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,radial-velocity measured uncertainty audit
gaia_dr3_retrieved,3089534353001157632,ruwe,gaiadr3.gaia_source,available,1.1971784,dimensionless,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
gaia_dr3_retrieved,3089534353001157632,astrometric_params_solved,gaiadr3.gaia_source,available,31,dimensionless,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
gaia_dr3_retrieved,3089534353001157632,duplicated_source,gaiadr3.gaia_source,available,False,boolean,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
gaia_dr3_retrieved,3089534353001157632,visibility_periods_used,gaiadr3.gaia_source,available,18,count,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
gaia_dr3_retrieved,3089847099636770560,source_id,gaiadr3.gaia_source,available,3089847099636770560,dimensionless,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,field availability audit
gaia_dr3_retrieved,3089847099636770560,ra,gaiadr3.gaia_source,available,122.50835506539042,deg,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate central value for orbit pipeline
gaia_dr3_retrieved,3089847099636770560,ra_error,gaiadr3.gaia_source,available,0.020588106,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
gaia_dr3_retrieved,3089847099636770560,dec,gaiadr3.gaia_source,available,1.2800943330610466,deg,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate central value for orbit pipeline
gaia_dr3_retrieved,3089847099636770560,dec_error,gaiadr3.gaia_source,available,0.017172968,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
gaia_dr3_retrieved,3089847099636770560,parallax,gaiadr3.gaia_source,available,0.637150856719755,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,central value for later correlated astrometric MC
gaia_dr3_retrieved,3089847099636770560,parallax_error,gaiadr3.gaia_source,available,0.023815988,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,standard uncertainty for later parallax/pm covariance matrix
gaia_dr3_retrieved,3089847099636770560,pmra,gaiadr3.gaia_source,available,-42.072760482673594,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,central value for later correlated astrometric MC
gaia_dr3_retrieved,3089847099636770560,pmra_error,gaiadr3.gaia_source,available,0.025910826,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,standard uncertainty for later parallax/pm covariance matrix
gaia_dr3_retrieved,3089847099636770560,pmdec,gaiadr3.gaia_source,available,-36.356421286612786,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,central value for later correlated astrometric MC
gaia_dr3_retrieved,3089847099636770560,pmdec_error,gaiadr3.gaia_source,available,0.021410597,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,standard uncertainty for later parallax/pm covariance matrix
gaia_dr3_retrieved,3089847099636770560,ra_dec_corr,gaiadr3.gaia_source,available,-0.1338573,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089847099636770560,ra_parallax_corr,gaiadr3.gaia_source,available,-0.10890713,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089847099636770560,ra_pmra_corr,gaiadr3.gaia_source,available,-0.027510922,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089847099636770560,ra_pmdec_corr,gaiadr3.gaia_source,available,0.33993784,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089847099636770560,dec_parallax_corr,gaiadr3.gaia_source,available,-0.19117548,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089847099636770560,dec_pmra_corr,gaiadr3.gaia_source,available,0.289752,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089847099636770560,dec_pmdec_corr,gaiadr3.gaia_source,available,-0.1210737,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089847099636770560,parallax_pmra_corr,gaiadr3.gaia_source,available,0.17357397,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,correlation coefficient for 3D parallax/pm covariance matrix
gaia_dr3_retrieved,3089847099636770560,parallax_pmdec_corr,gaiadr3.gaia_source,available,-0.11949479,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,correlation coefficient for 3D parallax/pm covariance matrix
gaia_dr3_retrieved,3089847099636770560,pmra_pmdec_corr,gaiadr3.gaia_source,available,-0.21941473,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,correlation coefficient for 3D parallax/pm covariance matrix
gaia_dr3_retrieved,3089847099636770560,radial_velocity,gaiadr3.gaia_source,column_present_value_missing,,km/s,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,value missing,radial-velocity central value audit
gaia_dr3_retrieved,3089847099636770560,radial_velocity_error,gaiadr3.gaia_source,column_present_value_missing,,km/s,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,value missing,radial-velocity measured uncertainty audit
gaia_dr3_retrieved,3089847099636770560,ruwe,gaiadr3.gaia_source,available,0.9338144,dimensionless,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
gaia_dr3_retrieved,3089847099636770560,astrometric_params_solved,gaiadr3.gaia_source,available,31,dimensionless,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
gaia_dr3_retrieved,3089847099636770560,duplicated_source,gaiadr3.gaia_source,available,False,boolean,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
gaia_dr3_retrieved,3089847099636770560,visibility_periods_used,gaiadr3.gaia_source,available,18,count,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,quality/completeness audit
